slide_id,selected_slides_match_config,train_fold_exists,valid_fold_exists,test_fold_exists,global_train_count,global_valid_count,global_test_count,global_folds_nonempty,axis,boundary_margin,coord_min,coord_max,boundary_train_valid,boundary_valid_test,train_count,valid_count,test_count,expected_train_count,expected_valid_count,expected_test_count,expected_discard_count,discarded_by_margin_count,train_coord_min,train_coord_max,valid_coord_min,valid_coord_max,test_coord_min,test_coord_max,gap_train_valid,gap_valid_test,min_boundary_gap,intervals_disjoint,spatial_leakage_aware,assignment_mismatch_count,missing_expected_kept_count,unexpected_kept_discard_count,train_margin_violation_count,valid_margin_violation_count,test_margin_violation_count,pass
skin_s1,True,True,True,True,18114,3755,2130,True,x,128,512.0,18752.0,13280.0,16016.0,8623,1938,648,8623,1938,648,439,439,512.0,12992.0,13568.0,15872.0,16256.0,18752.0,576.0,384.0,384.0,True,True,0,0,0,0,0,0,True
skin_s2,True,True,True,True,18114,3755,2130,True,x,128,512.0,20672.0,14624.0,17648.0,9491,1817,1482,9491,1817,1482,444,444,512.0,14336.0,14912.0,17408.0,17792.0,20672.0,576.0,384.0,384.0,True,True,0,0,0,0,0,0,True
