original_path,filename,file_size_bytes,sha256,tensor_content_sha256,top_level_checkpoint_keys,state_dict_key_count,tensor_parameter_count,mutable_buffer_key_count,mutable_buffer_tensor_element_count,checkpoint_tensor_element_count,dtype_distribution,lora,adaptformer,np_head,hv_head,nt_head,decoder_modules,likely_tissue,seed,configuration_method,matching_yaml_config,appears_complete,exact_duplicate_of,reported_in_paper,recommended_action,audit_note
adapters/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31932839,07e476b5b30568bd3f3503f63ccaa5610cab25f09d628beed1ff9a54c18b7106,ce7903f231df4b36bf97786deb70d2365ba6384c3691d0cbce76a7fce041ccf6,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Colon,42,lora_adaptformer:heads_only,configs/release/compayl2026/tissue_specific/training_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,true,,false,archive locally,
adapters/sthelar40x_colon_5class_spatial_margin128_lora_adaptformer_heads_only_seed42/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31932839,929b20ba7edef3faea19594a184b96238dda0c67e8e00bbe3fe00c682de8624c,a5d7fcf060211a9ecb870cfe93f3b9c6521daeb7de7d3802acd5687ecafff93d,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Colon,42,lora_adaptformer:heads_only,configs/release/compayl2026/tissue_specific/training_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_heads_only_seed43/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31925695,acf9e40f6b133e2073ef8dd219240a24028117aea04e110f66b9db19c327d36f,43e59a0b6d8497a8de2c99a9b18f4aa6b3b6f3ea2f354194e9876b405f2e15fc,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Kidney,43,lora_adaptformer:heads_only,configs/release/compayl2026/tissue_specific/training_sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31925695,c1a6d7745382eb82d7f0c827940fd127f6aa1c11efe44f6ef9eebe5024901e9b,eef3f226b363a7051f69d7d36030b24f5f96582d429e5cb15a328a13581225b8,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Kidney,42,lora_adaptformer:heads_only,configs/release/compayl2026/tissue_specific/training_sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_adaptformer_red16_decoder_frozen_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_adaptformer_red16_decoder_frozen_lr5e-5_e10_seed42_CLEAN_adapter.pth,26607965,b76cc9d1ba0dbe25b6b8618a7be4b5282c7f43515a9ed82592376aa0807cf530,9752841316a767c1d9bd3d3d31c366bd95c959d88a3600be956b151bb1b95b9b,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,160,6597152,105,19171,6616323,"{""float32"":230,""int64"":35}",false,true,true,true,true,true,KidneyLiverTonsil,42,adaptformer:none,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_frozen_encoder_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_frozen_encoder_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,2449318,aefee161a499fec30129520cd568fc76683728539d79793ec2881cc7658a5d8f,fc8088db17450374707478b512b2144e0607d7d7dd1e6d7187f45378af7d6c2b,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,183,553002,105,19171,572173,"{""float32"":253,""int64"":35}",false,false,true,true,true,true,KidneyLiverTonsil,42,vera:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_e10_seed42_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_e10_seed42_adapter.pth,26610395,c13be6ece82a883d85c3a0745013a6c0307733fd60735b15d667c7889a69d9d9,85ba8f8b76e8ddc623e95e4b875d2a94142a9335a5292ae431dbd3ebb268954d,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,168,6598059,105,19171,6617230,"{""float32"":238,""int64"":35}",false,true,true,true,true,true,KidneyLiverTonsil,42,adaptformer:heads_only,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_e10_seed43_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_e10_seed43_adapter.pth,26610395,0f31834865997c5196a12f7b3b5d8f9c4664ad2f6c53d81610f6da7d05c55b82,efb1e790b435fbbb6cad84477f3c20fa6e8f38d63e80efb182ba3d018174bba7,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,168,6598059,105,19171,6617230,"{""float32"":238,""int64"":35}",false,true,true,true,true,true,KidneyLiverTonsil,43,adaptformer:heads_only,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_laststage_e10_seed42_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_adaptformer_red16_heads_laststage_e10_seed42_adapter.pth,28039565,04e9bf693b172981a4af57d4ddbb8688cbae3092d1da5b7cc9f5656ecad18f5b,eee555921c6658008b97b4f8c49aebf70f196988823e0a82579db38680f9e930,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,200,6950571,105,19171,6969742,"{""float32"":270,""int64"":35}",false,true,true,true,true,true,KidneyLiverTonsil,42,adaptformer:last_stage,,true,,false,archive locally,
adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,34273918,b0abe0d4f8387f1a5594d870395df13f47b07cd31193f15d226bf8ab65d51983,9821b98124aba24c41333796939b12ed3e62f55d9c01c42b02c0f317e0f48d8a,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,471,8460874,105,19171,8480045,"{""float32"":541,""int64"":35}",true,true,true,true,true,true,KidneyLiverTonsil,42,lora_adaptformer:conv_adapters,,true,,false,archive locally,
