strategy,description,backbone,method,N_domains,shared_base_bytes,per_domain_artifact_bytes,total_deployment_bytes,total_deployment_gib,mPQ_mean,bPQ_mean,f1_detection_mean,inference_peak_allocated_gib_mean,inference_patches_per_second_mean
A,N complete SAM-H inference models,SAM-H,FullFT,1,0,2799293042,2799293042,2.607044802978635,0.20324449692542634,0.5641688175458337,0.8469242994512918,7.882327079772949,8.931156104291883
A,N complete SAM-H inference models,SAM-H,FullFT,3,0,2799293042,8397879126,7.8211344089359045,0.20324449692542634,0.5641688175458337,0.8469242994512918,7.882327079772949,8.931156104291883
A,N complete SAM-H inference models,SAM-H,FullFT,6,0,2799293042,16795758252,15.642268817871809,0.20324449692542634,0.5641688175458337,0.8469242994512918,7.882327079772949,8.931156104291883
A,N complete SAM-H inference models,SAM-H,FullFT,9,0,2799293042,25193637378,23.463403226807714,0.20324449692542634,0.5641688175458337,0.8469242994512918,7.882327079772949,8.931156104291883
B,one SAM-H base + N adapter packages,SAM-H,Selected PEFT,1,2799311538,31844024,2831155562,2.636719087138772,0.2237341856706116,0.5647008454340166,0.852839977158933,6.834444999694824,8.328897350519672
B,one SAM-H base + N adapter packages,SAM-H,Selected PEFT,3,2799311538,31844024,2894843610,2.696033203974366,0.2237341856706116,0.5647008454340166,0.852839977158933,6.834444999694824,8.328897350519672
B,one SAM-H base + N adapter packages,SAM-H,Selected PEFT,6,2799311538,31844024,2990375682,2.7850043792277575,0.2237341856706116,0.5647008454340166,0.852839977158933,6.834444999694824,8.328897350519672
B,one SAM-H base + N adapter packages,SAM-H,Selected PEFT,9,2799311538,31844024,3085907754,2.8739755544811487,0.2237341856706116,0.5647008454340166,0.852839977158933,6.834444999694824,8.328897350519672
C,N complete CellViT-256 inference models,CellViT-256,FullFT,1,0,187194214,187194214,0.17433819733560085,0.1986440409557249,0.5536658482221223,0.8508988034735252,1.6177992820739746,8.4475677573634
C,N complete CellViT-256 inference models,CellViT-256,FullFT,3,0,187194214,561582642,0.5230145920068026,0.1986440409557249,0.5536658482221223,0.8508988034735252,1.6177992820739746,8.4475677573634
C,N complete CellViT-256 inference models,CellViT-256,FullFT,6,0,187194214,1123165284,1.0460291840136051,0.1986440409557249,0.5536658482221223,0.8508988034735252,1.6177992820739746,8.4475677573634
C,N complete CellViT-256 inference models,CellViT-256,FullFT,9,0,187194214,1684747926,1.5690437760204077,0.1986440409557249,0.5536658482221223,0.8508988034735252,1.6177992820739746,8.4475677573634
D,one CellViT-256 base + N adapter packages,CellViT-256,Selected PEFT,1,187221926,1623604,188845530,0.1758761052042246,0.192844311381445,0.5180046205346599,0.8419034582114597,1.5810580253601074,9.38846869309419
D,one CellViT-256 base + N adapter packages,CellViT-256,Selected PEFT,3,187221926,1623604,192092738,0.17890030331909657,0.192844311381445,0.5180046205346599,0.8419034582114597,1.5810580253601074,9.38846869309419
D,one CellViT-256 base + N adapter packages,CellViT-256,Selected PEFT,6,187221926,1623604,196963550,0.18343660049140453,0.192844311381445,0.5180046205346599,0.8419034582114597,1.5810580253601074,9.38846869309419
D,one CellViT-256 base + N adapter packages,CellViT-256,Selected PEFT,9,187221926,1623604,201834362,0.1879728976637125,0.192844311381445,0.5180046205346599,0.8419034582114597,1.5810580253601074,9.38846869309419
