backbone,method,mPQ_mean,bPQ_mean,f1_detection_mean,training_peak_allocated_gib_mean,training_peak_reserved_gib_mean,inference_peak_allocated_gib_mean,inference_peak_reserved_gib_mean,inference_patches_per_second_mean
SAM-H,Frozen,,0.5163713134082144,0.8388062687562886,,,3.8935141563415527,4.640625,9.555010870846255
SAM-H,LP,0.20532778276230484,0.5114140552081241,0.8412964620874245,3.8932323455810547,4.748046875,7.820193290710449,8.392578125,9.223121748971034
SAM-H,Selected PEFT,0.2237341856706116,0.5647008454340166,0.852839977158933,9.36176872253418,11.091796875,6.834444999694824,11.091796875,8.328897350519672
SAM-H,FullFT,0.20324449692542634,0.5641688175458337,0.8469242994512918,15.507665157318115,18.4287109375,7.882327079772949,18.4287109375,8.931156104291883
CellViT-256,Frozen,,0.5179549071980626,0.8456717064784514,,,1.336219310760498,1.8671875,10.24835307633661
CellViT-256,LP,0.1865067656337278,0.4976555654409083,0.8407637368416505,1.3362035751342773,1.8798828125,1.6105871200561523,1.9140625,9.985252207401292
CellViT-256,Selected PEFT,0.192844311381445,0.5180046205346599,0.8419034582114597,2.040327548980713,3.3046875,1.5810580253601074,3.3046875,9.38846869309419
CellViT-256,FullFT,0.1986440409557249,0.5536658482221223,0.8508988034735252,2.667426109313965,4.029296875,1.6177992820739746,4.029296875,8.4475677573634
