comparison,metric,directionality,lhs_value,rhs_value,absolute_delta_lhs_minus_rhs,relative_delta_percent
SAM-H PEFT vs CellViT-256 FullFT,bPQ,higher_better,0.5647008454340166,0.5536658482221223,0.01103499721189427,1.993078902614065
SAM-H PEFT vs CellViT-256 FullFT,F1 detection,higher_better,0.852839977158933,0.8508988034735252,0.0019411736854078043,0.2281321442084039
SAM-H PEFT vs CellViT-256 FullFT,Dice,higher_better,0.8137113135025267,0.8099796995411492,0.0037316139613774446,0.46070462796676814
SAM-H PEFT vs CellViT-256 FullFT,trainable parameters,lower_better,7908779,46743419,-38834640,-83.08044390163244
SAM-H PEFT vs CellViT-256 FullFT,training wall hours,lower_better,7.39775426580611,5.576871061911248,1.8208832038948621,32.65062404492507
SAM-H PEFT vs CellViT-256 FullFT,mean minutes per epoch,lower_better,44.38623825516249,33.46075462097011,10.925483634192382,32.6516354994137
SAM-H PEFT vs CellViT-256 FullFT,training peak allocated GiB,lower_better,9.36176872253418,2.667426109313965,6.694342613220215,250.96637503266894
SAM-H PEFT vs CellViT-256 FullFT,training peak reserved GiB,lower_better,11.091796875,4.029296875,7.0625,175.2787203102278
SAM-H PEFT vs CellViT-256 FullFT,current training checkpoint bytes,lower_better,2894602378.0,561446912.0,2333155466.0,415.5611895145663
SAM-H PEFT vs CellViT-256 FullFT,inference model weight bytes,lower_better,2831044052,187194214,2643849838,1412.3566009363942
SAM-H PEFT vs CellViT-256 FullFT,inference peak allocated GiB,lower_better,6.834444999694824,1.6177992820739746,5.21664571762085,322.45321007518635
SAM-H PEFT vs CellViT-256 FullFT,inference patches per second,higher_better,8.328897350519672,8.4475677573634,-0.11867040684372832,-1.4047878661912816
SAM-H PEFT vs SAM-H FullFT,deployment bytes N=1,lower_better,2831155562,2799293042,31862520,1.1382345300024577
SAM-H PEFT vs SAM-H FullFT,deployment bytes N=3,lower_better,2894843610,8397879126,-5503035516,-65.52887262883426
SAM-H PEFT vs SAM-H FullFT,deployment bytes N=6,lower_better,2990375682,16795758252,-13805382570,-82.19564941854344
SAM-H PEFT vs SAM-H FullFT,deployment bytes N=9,lower_better,3085907754,25193637378,-22107729624,-87.75124168177983
CellViT-256 PEFT vs CellViT-256 FullFT,deployment bytes N=1,lower_better,188845530,187194214,1651316,0.8821405131677951
CellViT-256 PEFT vs CellViT-256 FullFT,deployment bytes N=3,lower_better,192092738,561582642,-369489904,-65.79439540440781
CellViT-256 PEFT vs CellViT-256 FullFT,deployment bytes N=6,lower_better,196963550,1123165284,-926201734,-82.46352938380171
CellViT-256 PEFT vs CellViT-256 FullFT,deployment bytes N=9,lower_better,201834362,1684747926,-1482913564,-88.01990737693302
SAM-H PEFT vs CellViT-256 PEFT,deployment bytes N=1,lower_better,2831155562,188845530,2642310032,1399.1911971652175
SAM-H PEFT vs CellViT-256 PEFT,deployment bytes N=3,lower_better,2894843610,192092738,2702750872,1407.0031486562496
SAM-H PEFT vs CellViT-256 PEFT,deployment bytes N=6,lower_better,2990375682,196963550,2793412132,1418.2381115693743
SAM-H PEFT vs CellViT-256 PEFT,deployment bytes N=9,lower_better,3085907754,201834362,2884073392,1428.9308140702028
SAM-H PEFT vs CellViT-256 FullFT,deployment bytes N=1,lower_better,2831155562,187194214,2643961348,1412.416170085257
SAM-H PEFT vs CellViT-256 FullFT,deployment bytes N=3,lower_better,2894843610,561582642,2333260968,415.479538272481
SAM-H PEFT vs CellViT-256 FullFT,deployment bytes N=6,lower_better,2990375682,1123165284,1867210398,166.24538031928702
SAM-H PEFT vs CellViT-256 FullFT,deployment bytes N=9,lower_better,3085907754,1684747926,1401159828,83.16732766822234
