backbone,method,seed,matched_folds,total_parameters,trainable_parameters,trainable_percent,training_wall_seconds_mean,training_wall_hours_mean,mean_seconds_per_epoch,mean_minutes_per_epoch,training_peak_allocated_gib_mean,training_peak_reserved_gib_mean,current_training_checkpoint_bytes_mean,current_training_checkpoint_gib_mean,inference_model_weight_bytes,inference_model_weight_gib,adapter_only_weight_bytes,adapter_only_weight_mib,inference_peak_allocated_gib_mean,inference_peak_reserved_gib_mean,inference_patches_per_second_mean,dice_mean,jaccard_mean,bPQ_mean,mPQ_mean,f1_detection_mean,gpu_model,partition,training_batch_size,inference_batch_size,amp_policy,pytorch_version,cuda_version
SAM-H,Frozen,42,2,699741149,0,0.0,,,,,,,,,2799311538,2.607062028720975,,,3.8935141563415527,4.640625,9.555010870846255,0.7616802745491322,0.6352659739882583,0.5163713134082144,,0.8388062687562886,NVIDIA A100-SXM4-40GB,,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1
SAM-H,LP,42,2,699736523,650,9.289210704812674e-05,19221.66504877049,5.339351402436248,1922.157681848298,32.035961364138295,3.8932323455810547,4.748046875,2799325178.0,2.6070747319608927,2799293042,2.607044802978635,,,7.820193290710449,8.392578125,9.223121748971034,0.7600945505026575,0.6321124734933061,0.5114140552081241,0.20532778276230484,0.8412964620874245,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
SAM-H,Selected PEFT,42,2,707644395,7908779,1.1176205246421826,26631.915356901998,7.39775426580611,2663.174295309749,44.38623825516249,9.36176872253418,11.091796875,2894602378.0,2.6958085391670465,2831044052,2.6366152353584766,31844024,30.36882781982422,6.834444999694824,11.091796875,8.328897350519672,0.8137113135025267,0.7034504064087773,0.5647008454340166,0.2237341856706116,0.852839977158933,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
SAM-H,FullFT,42,2,699736523,699736523,100.0,28748.3930543105,7.985664737308473,2874.8316318649486,47.91386053108248,15.507665157318115,18.4287109375,8397788372.0,7.821049887686968,2799293042,2.607044802978635,,,7.882327079772949,18.4287109375,8.931156104291883,0.8147790907924335,0.7068397334139898,0.5641688175458337,0.20324449692542634,0.8469242994512918,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
CellViT-256,Frozen,42,2,46750349,0,0.0,,,,,,,,,187221926,0.1743640061467886,,,1.336219310760498,1.8671875,10.24835307633661,0.7715839528819537,0.648734035737954,0.5179549071980626,,0.8456717064784514,NVIDIA A100-SXM4-40GB,gpua100,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1
CellViT-256,LP,42,2,46743419,650,0.001390570082175632,15560.757751486963,4.322432708746378,1556.0592743222892,25.93432123870482,1.3362035751342773,1.8798828125,187219887.0,0.17436210718005896,187194214,0.17433819733560085,,,1.6105871200561523,1.9140625,9.985252207401292,0.7617311516763049,0.634236686457629,0.4976555654409083,0.1865067656337278,0.8407637368416505,NVIDIA A100-SXM4-40GB,gpua100,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
CellViT-256,Selected PEFT,42,2,47116967,374198,0.7941894901681595,21756.739233146,6.043538675873889,2175.658650362001,36.26097750603335,2.040327548980713,3.3046875,191842847.0,0.17866757418960333,188732694,0.17577101849019527,1623604,1.5483894348144531,1.5810580253601074,3.3046875,9.38846869309419,0.7911379875575253,0.6704962902694207,0.5180046205346599,0.192844311381445,0.8419034582114597,NVIDIA A100-SXM4-40GB,gpua100,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
CellViT-256,FullFT,42,2,46743419,46743419,100.0,20076.735822880495,5.576871061911248,2007.6452772582065,33.46075462097011,2.667426109313965,4.029296875,561446912.0,0.52288818359375,187194214,0.17433819733560085,,,1.6177992820739746,4.029296875,8.4475677573634,0.8099796995411492,0.6995480047033893,0.5536658482221223,0.1986440409557249,0.8508988034735252,NVIDIA A100-SXM4-40GB,gpua100,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1
