protocol,backbone,method,seed,fold,slide_id,tissue,num_patches,bPQ,mPQ,F1det,F1type,taxonomy_metrics_valid,source,epithelial_f1,epithelial_matched_true_support,epithelial_total_true_support,immune_f1,immune_matched_true_support,immune_total_true_support,stromal_f1,stromal_matched_true_support,stromal_total_true_support,melanocyte_f1,melanocyte_matched_true_support,melanocyte_total_true_support,other_f1,other_matched_true_support,other_total_true_support
slide-independent,SAM-H,NT-header1,43,A,liver_s1,Liver,9166,0.5884801351,0.1326843074,0.8751384839,0.20115013,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.2102048869,146182,175548,0.0749141538,56210,66198,0.4820828363,60545,72677,0,0,0,0.0373986431,580,1125
slide-independent,SAM-H,NT-header1,43,A,tonsil_s1,Tonsil,9879,0.4462963859,0.2259084434,0.8249032386,0.5612416989,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/log/2026-08-24T175805_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed43/inference_results.json,0.7101021626,65479,82718,0.8335371687,427693,519602,0.5320856526,121823,160479,0,0,0,0.1692418118,19545,38307
slide-independent,SAM-H,FullFT,42,A,kidney_s1,Kidney,4449,0.5853635372,0.1598754817,0.8573896146,0.294000697,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.1575130639,13077,17672,0.3935084096,51898,58424,0.4624693299,21147,26659,0,0,0,0.1625119847,1210,2105
slide-independent,SAM-H,FullFT,42,A,liver_s1,Liver,9166,0.5855583881,0.1372579285,0.8654202376,0.2170310062,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.1905433583,145678,176015,0.0797388928,56205,66216,0.5636084935,60149,72713,0,0,0,0.0342332804,575,1125
slide-independent,SAM-H,FullFT,42,A,tonsil_s1,Tonsil,9879,0.4358484323,0.226334577,0.8147326439,0.5581770019,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,0.7176063701,64307,82875,0.848636817,423518,519891,0.5243143137,116661,160792,0,0,0,0.1421505067,15777,38527
slide-independent,SAM-H,FullFT,43,A,kidney_s1,Kidney,4449,0.5883266221,0.1724272327,0.8628362273,0.2826171519,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.1223566663,12765,17659,0.431113927,51835,58427,0.469188167,20744,26656,0,0,0,0.1078098472,1128,2106
slide-independent,SAM-H,FullFT,43,A,liver_s1,Liver,9166,0.5811769046,0.2018611772,0.8721201502,0.308266465,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.5104090741,144782,175840,0.1438839199,55848,66219,0.5564181714,59751,72705,0,0,0,0.0223546945,555,1125
slide-independent,SAM-H,FullFT,43,A,tonsil_s1,Tonsil,9879,0.4451406746,0.2356943005,0.8201986444,0.5740311998,True,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,0.7236505318,64770,82756,0.8260657509,424976,519787,0.5342612732,119828,160694,0,0,0,0.2121472432,18409,38419
slide-independent,CellViT-256,Frozen,42,A,kidney_s1,Kidney,4449,0.5096011877,NA,0.8371208608,NA,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,CellViT-256,Frozen,42,A,liver_s1,Liver,9166,0.5178696103,NA,0.841803843,NA,False,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
