backbone,method,seed,metric,within_slide,slide_independent_fold_A,slide_independent_fold_B,slide_independent_mean_of_fold_values,absolute_delta_slideind_minus_within,within_test_composition,slideind_test_composition,composition_matched,within_source,slideind_fold_A_source,slideind_fold_B_source
SAM-H,Selected PEFT,43,Dice,0.7702947279,0.7881098934,0.8371375271,0.8126237102,0.0423289823,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
SAM-H,Selected PEFT,43,bPQ,0.5009487558,0.519882691,0.6114209245,0.5656518077,0.064703052,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
SAM-H,Selected PEFT,43,mPQ,0.2903461622,0.2145142902,0.240552094,0.2275331921,-0.0628129701,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
SAM-H,Selected PEFT,43,F1det,0.8354978619,0.8431757013,0.8661168971,0.8546462992,0.0191484373,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
SAM-H,Selected PEFT,43,F1type,0.5953298947,0.4829911881,0.4959636712,0.4894774297,-0.1058524651,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
SAM-H,FullFT,42,Dice,0.7818713405,0.7909626249,0.8385955567,0.8147790908,0.0329077502,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json
SAM-H,FullFT,42,bPQ,0.5083904201,0.5225698998,0.6057677353,0.5641688175,0.0557783975,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json
SAM-H,FullFT,42,mPQ,0.3058041876,0.178996828,0.2274921658,0.2032444969,-0.1025596907,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json
SAM-H,FullFT,42,F1det,0.8270826672,0.8316423191,0.8622062798,0.8469242995,0.0198416322,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json
SAM-H,FullFT,42,F1type,0.6680878037,0.4431954417,0.5380824596,0.4906389506,-0.177448853,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json
SAM-H,FullFT,43,Dice,0.7869533666,0.7969394174,0.8376516856,0.8172955515,0.0303421849,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json
SAM-H,FullFT,43,bPQ,0.5210799994,0.5253289084,0.6033355931,0.5643322508,0.0432522514,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json
SAM-H,FullFT,43,mPQ,0.3126288108,0.2105138462,0.2327892142,0.2216515302,-0.0909772806,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json
SAM-H,FullFT,43,F1det,0.8301261846,0.8372002112,0.8549474375,0.8460738244,0.0159476398,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json
SAM-H,FullFT,43,F1type,0.6641367163,0.4894429217,0.5434097492,0.5164263355,-0.1477103809,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/log/2026-08-25T015318_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json
