protocol,scope,backbone,method,seed,fold,slide_id,class,taxonomy_metrics_valid,source,f1,precision,recall,matched_true_support,matched_pred_support,unmatched_true,unmatched_pred,total_true_support,total_pred_support
slide-independent,fold,SAM-H,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7543827243,0.7710719319,0.7384006591,536496,513764,108143,72131,644639,585895
slide-independent,fold,SAM-H,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.5327313863,0.4584545783,0.6357295031,203714,282486,56483,34446,260197,316932
slide-independent,fold,SAM-H,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.0001011429,0.0833333333,0.0000506022,19762,12,21979,13,41741,25
slide-independent,fold,SAM-H,Selected PEFT,43,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.6555259161,0.7226392921,0.5998191625,224511,186353,51588,22024,276099,208377
slide-independent,fold,SAM-H,Selected PEFT,43,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.7447726913,0.768593111,0.7223843834,537531,505214,106954,70733,644485,575947
slide-independent,fold,SAM-H,Selected PEFT,43,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.5303571788,0.4490833089,0.6475487886,203736,293774,56338,35800,260074,329574
slide-independent,fold,SAM-H,Selected PEFT,43,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,Selected PEFT,43,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.0013089664,0.0866666667,0.0006594633,19713,150,22018,52,41731,202
slide-independent,fold,SAM-H,NT-header1,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.5839671642,0.7139319086,0.4940329964,223479,154645,52799,18413,276278,173058
