true_label,Epithelial,Immune,Stromal,Melanocyte,Other
Epithelial,0.6673154271,0.1507920841,0.177487909,0,0.0044045798
Immune,0.0646707947,0.8755513761,0.0548100773,0,0.0049677519
Stromal,0.1286904207,0.4671939489,0.3928446612,0,0.0112709692
Melanocyte,0,0,0,0,0
Other,0.0939483993,0.3782925841,0.3672159935,0,0.1605430231
