true_label,Epithelial,Immune,Stromal,Melanocyte,Other
Epithelial,0.2962539563,0.4769794945,0.208744654,0,0.0180218953
Immune,0.0432526179,0.7111062204,0.2376918895,0,0.0079492721
Stromal,0.0296428012,0.2646231252,0.6908924665,0,0.014841607
Melanocyte,0,0,0,0,0
Other,0.03245644,0.3241658125,0.534278556,0,0.1090991914
