true_label,Epithelial,Immune,Stromal,Melanocyte,Other
Epithelial,0.6774031895,0.1884478233,0.1278726895,0,0.0062762977
Immune,0.057475824,0.8748065091,0.0613192892,0,0.0063983777
Stromal,0.1317498968,0.4711308296,0.3829632687,0,0.014156005
Melanocyte,0,0,0,0,0
Other,0.1232010326,0.3710874476,0.3512100678,0,0.1545014521
