true_label,Epithelial,Immune,Stromal,Melanocyte,Other
Epithelial,0.5949801076,0.2162261657,0.1887759854,0,0.0000177413
Immune,0.0747722257,0.7384006591,0.1868252513,0,0.0000018639
Stromal,0.0694061282,0.2948349156,0.6357295031,0,0.0000294531
Melanocyte,0,0,0,0,0
Other,0.0391154741,0.4454002631,0.5154336606,0,0.0000506022
