true_label,Epithelial,Immune,Stromal,Melanocyte,Other
Epithelial,0.6934531553,0.1783891989,0.1268996379,0,0.0012580079
Immune,0.0581124558,0.8832894613,0.0580931411,0,0.0005049418
Stromal,0.1246580647,0.5116793553,0.3625996968,0,0.0010628831
Melanocyte,0,0,0,0,0
Other,0.1209277383,0.4754658801,0.3932832819,0,0.0103230996
