record_type,scope,backbone,method,tissue,fold,split,slide_id,seed,class_name,true_class,predicted_class,count,patch_count,annotated_cell_count,nuclei_per_patch,class_entropy_bits,immune_count,immune_frequency,stromal_count,stromal_frequency,epithelial_count,epithelial_frequency,melanocyte_count,melanocyte_frequency,other_count,other_frequency,total_variation,jensen_shannon_bits,rare_or_absent_train_present_test,Dice,Jaccard,bPQ,mPQ,F1det,F1type,Dice_mean,Dice_sd,Jaccard_mean,Jaccard_sd,bPQ_mean,bPQ_sd,mPQ_mean,mPQ_sd,F1det_mean,F1det_sd,F1type_mean,F1type_sd,Dice_difference_B_minus_A,Jaccard_difference_B_minus_A,bPQ_difference_B_minus_A,mPQ_difference_B_minus_A,F1det_difference_B_minus_A,F1type_difference_B_minus_A,class_f1,class_f1_mean,class_f1_sd,matched_support,total_true_support,predicted_count,predicted_frequency,bPQ_rank,mPQ_rank,F1det_rank,F1type_rank,strong_detection_weak_typing,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_path,note
slide_composition,KLT,,,Pooled KLT,B,train,kidney_s1+liver_s1+tonsil_s1,,,,,,20893,1113258,53.28377925621022,1.5952230000151273,593561,0.5331746998449596,236384,0.21233532568371394,249467,0.22408731848322672,0,0.0,33846,0.030402655988099794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Kidney,B,test,kidney_s0,,,,,,6723,194502,28.930834448906737,1.5457742449941771,20030,0.10298094621135001,55988,0.28785308120224984,108430,0.5574749874037285,0,0.0,10054,0.051690985182671643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Liver,B,test,liver_s0,,,,,,9756,232970,23.879663796637967,1.48457365951712,51384,0.2205605872000687,47080,0.20208610550714684,131891,0.5661286860969224,0,0.0,2615,0.011224621195862127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Tonsil,B,test,tonsil_s0,,,,,,9856,1155717,117.26024756493507,1.2312794472192277,807732,0.6989012015917392,194011,0.16787068114425938,142670,0.12344717608203393,0,0.0,11304,0.009780941181967557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Pooled KLT,B,test,kidney_s0+liver_s0+tonsil_s0,,,,,,26335,1583189,60.117296373647235,1.5110623352067898,879146,0.5553007253082228,297079,0.18764594751479452,382991,0.2419111047386004,0,0.0,23973,0.015142222438382277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
distribution_shift,KLT,,,Kidney,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.4565206600508595,0.21389982677287525,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Liver,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.02931483472857788,0.002419621421520204,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Tonsil,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.07121710113528368,0.012093791968379364,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Pooled KLT,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.04412113414835042,0.003570305196386966,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Kidney,B,train_to_test,,,,,,,,,,,,,,,,,,,,,0.4682874490234082,0.22544497415600495,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Liver,B,train_to_test,,,,,,,,,,,,,,,,,,,,,0.032498975839420234,0.00257782772224664,Other rare in train (0.35%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Tonsil,B,train_to_test,,,,,,,,,,,,,,,,,,,,,0.06233033867268279,0.009962476940765966,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Pooled KLT,B,train_to_test,,,,,,,,,,,,,,,,,,,,,0.03994981171863693,0.0028385456859006423,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
slide_composition,tissue-specific,,,Breast,A,train,breast_s0,,,,,,43105,1204376,27.94051734137571,1.4129495009939395,224746,0.18660783675529902,224994,0.18681375251582563,740047,0.6144650839937029,0,0.0,14589,0.012113326735172405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_breast_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Breast,A,test,breast_s1,,,,,,49569,831391,16.772398071375253,1.6538973212310533,196107,0.2358781848733027,208801,0.25114657243102223,400950,0.48226406107355024,0,0.0,25533,0.03071118162212485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_breast_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Breast,B,train,breast_s1,,,,,,42794,738084,17.247371126793475,1.6752314579031977,174792,0.23681857349569968,192031,0.2601749936321611,346255,0.46912682025352126,0,0.0,25006,0.03387961261861794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_breast_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Breast,B,test,breast_s0,,,,,,45773,1271180,27.771393616324033,1.421286686638536,242774,0.1909831809814503,238713,0.1877885114617914,774463,0.6092473135197218,0,0.0,15230,0.011980994037036454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_breast_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Colon,A,train,colon_s1,,,,,,16435,1090357,66.3435959841801,1.5312233423410282,188427,0.17281220737795053,317586,0.2912679058326768,569210,0.5220400290913894,0,0.0,15134,0.013879857697983321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_colon_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Colon,A,test,colon_s2,,,,,,11903,764721,64.24607241871797,1.1798997132017273,199011,0.2602400091013585,31033,0.04058081313315575,520139,0.6801683228262334,0,0.0,14538,0.019010854939252354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_colon_5class_slideind_foldA_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Colon,B,train,colon_s2,,,,,,10690,683428,63.93152478952292,1.1809972993080304,181127,0.26502718647758067,26865,0.03930918838560902,462478,0.6767033250027801,0,0.0,12958,0.018960300134030213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_colon_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Colon,B,test,colon_s1,,,,,,18464,1202814,65.14373916811091,1.5535300523385356,211410,0.17576283614923005,374228,0.31112707367888964,599872,0.4987238259614537,0,0.0,17304,0.01438626421042655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_colon_5class_slideind_foldB_margin128_cap50000/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Kidney,A,train,kidney_s0,,,,,,6321,188119,29.760955545008702,1.5362622044053262,18889,0.10040984695857409,52774,0.28053519314901737,106511,0.5661894864420925,0,0.0,9945,0.052865473450316024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_kidney_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Kidney,A,test,kidney_s1,,,,,,4449,106428,23.921780175320297,1.5185668470005165,59273,0.5569305070094336,27084,0.254481903258541,17944,0.16860224752884578,0,0.0,2127,0.019985342203179615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_kidney_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Kidney,B,train,kidney_s1,,,,,,3912,92755,23.710378323108383,1.4884526701549998,52988,0.5712683952347583,24057,0.259360681364886,13873,0.14956606112878013,0,0.0,1837,0.019804862271575657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_kidney_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Kidney,B,test,kidney_s0,,,,,,6723,194502,28.930834448906737,1.5457742449941771,20030,0.10298094621135001,55988,0.28785308120224984,108430,0.5574749874037285,0,0.0,10054,0.051690985182671643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_kidney_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Liver,A,train,liver_s0,,,,,,18780,449720,23.94675186368477,1.486423353864914,99797,0.22190918793916214,90574,0.20140087165347328,254218,0.5652806190518544,0,0.0,5131,0.011409321355510095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_liver_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Liver,A,test,liver_s1,,,,,,9166,320945,35.014728343879554,1.4589360167082268,67212,0.20941905934038543,73797,0.2299365934973282,178802,0.5571110314851454,0,0.0,1134,0.003533315677140943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_liver_5class_slideind_foldA_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,tissue-specific,,,Liver,B,train,liver_s1,,,,,,8174,293190,35.868607780768286,1.4731348671796578,63296,0.21588730857123367,68778,0.23458508134656708,160100,0.5460622804324841,0,0.0,1016,0.003465329649715202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manifests/slide_independent/sthelar40x_liver_5class_slideind_foldB_margin128/split_manifest.yaml,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
