backbone,method,tissue,fold,seed,train_slide,test_slide,test_patches,test_true_support,Dice,bPQ,mPQ,F1det,F1type,immune_F1,immune_matched_support,immune_total_true_support,stromal_F1,stromal_matched_support,stromal_total_true_support,epithelial_F1,epithelial_matched_support,epithelial_total_true_support,melanocyte_F1,melanocyte_matched_support,melanocyte_total_true_support,other_F1,other_matched_support,other_total_true_support,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_inference_json
CellViT-SAM-H,Selected PEFT,Ovary,A,42,ovary_s0,ovary_s1,25498,815470,0.7514552697807471,0.44875987659719585,0.22264470198982342,0.8343549707732534,0.5054029144142186,0.3618801878549585,74970,90259,0.7752108035644871,247883,304120,0.8841181302607755,311194,360874,nan,0,0,0.00040253597665291336,39723,60217,Stromal->Immune,33012,checkpoint_10 TEST,run/sthelar40x_ovary_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T105512_sthelar40x_ovary_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Ovary,B,42,ovary_s1,ovary_s0,10039,498877,0.7273679869056037,0.3874301071935281,0.15482826483984696,0.8328478630172788,0.48059933978667174,0.3449405649740367,85438,104483,0.6465739210637562,49291,61888,0.7129667615268019,246564,310152,nan,0,0,0.21791611158209195,13593,22354,Epithelial->Immune,67466,checkpoint_10 TEST,run/sthelar40x_ovary_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154219_sthelar40x_ovary_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Pancreatic,A,42,pancreatic_s0,pancreatic_s1,12647,469142,0.7417215953527168,0.3774411660283502,0.12393072164987763,0.7337755706803492,0.2787625121793176,0.6137242768972028,103402,155985,0.38105316823346747,58546,82287,0.118747557639703,76569,117706,nan,0,0,0.001525045946897118,50296,113164,Other->Immune,46962,checkpoint_10 TEST,run/sthelar40x_pancreatic_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T105512_sthelar40x_pancreatic_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Pancreatic,B,42,pancreatic_s1,pancreatic_s0,25526,440021,0.748703221715716,0.3891657273168339,0.1745340484967602,0.72504314158917,0.4167253543098746,0.5736983084431072,100869,138877,0.38838992084552404,49056,73507,0.6945682174877781,149034,199217,nan,0,0,0.01024497046308919,21668,28420,Epithelial->Stromal,46219,checkpoint_10 TEST,run/sthelar40x_pancreatic_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T225723_sthelar40x_pancreatic_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Skin,A,42,skin_s1,skin_s2,12790,199847,0.7691965330696313,0.4400976317448564,0.13416291906979316,0.7431512215650897,0.2425189705726829,0.45474742750233865,66764,77761,0.28269239125711554,31860,38319,0.47200274819649607,8619,10718,0.0014663006598352969,58589,72962,0.0016859852476290833,51,87,Melanocyte->Stromal,39468,checkpoint_10 TEST,run/sthelar40x_skin_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T164216_sthelar40x_skin_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Skin,B,42,skin_s2,skin_s1,11209,176792,0.454879846877665,0.2136613600833656,0.07166844811113465,0.6627763929487295,0.29358072481034897,0.17550274223034734,5300,7656,0.4969722280225517,24025,47505,0.7611195571668031,41763,60109,0.034309096632042804,3996,5534,0.0,17215,55988,Stromal->Epithelial,8991,checkpoint_10 TEST,run/sthelar40x_skin_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T230626_sthelar40x_skin_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Tonsil,A,42,tonsil_s0,tonsil_s1,21083,1716308,0.7374287844394416,0.4522440218264186,0.21584030891935824,0.8382589521280475,0.48786643371037725,0.809813615809467,921418,1115096,0.5055800569611625,261227,341054,0.6360720620708795,140868,177099,nan,0,0,0.0,44164,83059,Immune->Stromal,125211,checkpoint_10 TEST,run/sthelar40x_tonsil_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T192051_sthelar40x_tonsil_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Tonsil,B,42,tonsil_s1,tonsil_s0,23067,2662977,0.8316900514684316,0.577059605163144,0.2603020413877553,0.8559936093955811,0.5107643498087211,0.8611930803674326,1550883,1855942,0.409910472017064,369093,445916,0.6772291290434312,277100,334497,nan,0,0,0.09472471780695692,14850,26622,Stromal->Immune,224338,checkpoint_10 TEST,run/sthelar40x_tonsil_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T192051_sthelar40x_tonsil_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Breast,A,42,breast_s0,breast_s1,49569,817476,0.7825767723377292,0.45365355313501593,0.23661721751552128,0.7918037088650486,0.4639066871688298,0.4263198669020435,151856,192844,0.5978925553877996,159327,205192,0.8136543086254586,303198,394395,nan,0,0,0.01776001776001776,3909,25045,Immune->Stromal,71867,checkpoint_10 TEST,run/sthelar40x_breast_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T102746_sthelar40x_breast_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-256,Selected PEFT,Breast,B,42,breast_s1,breast_s0,45773,1246557,0.8198884755274961,0.5101255911498671,0.3022816592683329,0.8349197121205234,0.522674180235952,0.6529487564550978,192241,238576,0.4900279884160742,182557,233889,0.8769758824537355,608766,759164,nan,0,0,0.07074409361890042,10758,14928,Stromal->Immune,85573,checkpoint_10 TEST,run/sthelar40x_breast_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-31T102746_sthelar40x_breast_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
