protocol,backbone,method,domain,tissue,seed,fold,status,canonical_job_id,checkpoint_policy,Dice,Jaccard,bPQ,mPQ,F1det,F1type,immune_F1,immune_matched_support,immune_total_true_support,stromal_F1,stromal_matched_support,stromal_total_true_support,epithelial_F1,epithelial_matched_support,epithelial_total_true_support,melanocyte_F1,melanocyte_matched_support,melanocyte_total_true_support,other_F1,other_matched_support,other_total_true_support,trainable_params,total_params,trainable_pct,matched_patches,source_inference_json,provenance_note,test_patches,test_true_support,train_slide,test_slide,test_patch_id_sha256,training_wall_seconds,training_wall_hours,training_peak_allocated_gib,inference_peak_allocated_gib,inference_patches_per_second,retained_model_state_bytes,model_state_kind,source_efficiency_json,source_inference_efficiency_json
held_out_slide_KLT,CellViT-SAM-H,Frozen,KLT,Kidney+Liver+Tonsil,42,A,COMPLETED,1465774,official_pretrained,0.739183209,0.610734187,0.476233098,,0.828634881,,,,,,,,,,,,,,,,,0,699741149,0.000000000,,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,,,,,,,,,,,,,,,
held_out_slide_KLT,CellViT-SAM-H,Frozen,KLT,Kidney+Liver+Tonsil,42,B,COMPLETED,1465815,official_pretrained,0.784177340,0.659797761,0.556509529,,0.848977657,,,,,,,,,,,,,,,,,0,699741149,0.000000000,,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/frozen_class_agnostic_results.json,,,,,,,,,,,,,,,
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,42,A,COMPLETED,1465814,checkpoint_10 TEST,0.734021585,0.601925195,0.463717652,0.194705169,0.831557245,0.415691639,0.802876637,507388,644689,0.381613656,186274,260279,0.478276262,202466,276803,,0,0,0.000000000,18998,41775,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,23494,1223546,kidney_s0;liver_s0;tonsil_s0,kidney_s1;liver_s1;tonsil_s1,47b58bbfec248fadb420a3ee2072039375f23f2aae3ff5dc4146be2664e97a61,20278.850039,5.633014,3.893232,7.820193,9.636818,,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,42,B,COMPLETED,1465816,checkpoint_10 TEST,0.786167516,0.662299752,0.559110459,0.215950396,0.851035679,0.420922314,0.813005538,687543,866327,0.192200639,221685,292693,0.678483081,285378,377596,,0,0,0.000000000,11370,23634,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,26335,1560250,kidney_s1;liver_s1;tonsil_s1,kidney_s0;liver_s0;tonsil_s0,ecb48f53f1b24e779857cc2415f3f61e87130e253e65857542adbf7ca5b3972e,18164.480058,5.045689,3.893232,7.820193,8.809425,,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,43,A,COMPLETED,1468274,checkpoint_10 TEST,0.729492512,0.597466432,0.463084517,0.203558417,0.826069779,0.438962522,0.797181957,501128,644648,0.339813897,181980,260255,0.618854235,198994,276719,,0,0,0.000000000,17818,41775,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,23494,1223397,kidney_s0;liver_s0;tonsil_s0,kidney_s1;liver_s1;tonsil_s1,47b58bbfec248fadb420a3ee2072039375f23f2aae3ff5dc4146be2664e97a61,20658.393596,5.738443,3.893232,7.820193,9.474606,,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,43,B,COMPLETED,1468275,checkpoint_10 TEST,0.785399938,0.661267262,0.559287466,0.207725524,0.849863000,0.415270248,0.802072761,684978,866326,0.285595966,220463,292684,0.573234327,284140,377510,,0,0,0.000177936,11236,23634,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/log/2026-08-20T194225_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,26335,1560154,kidney_s1;liver_s1;tonsil_s1,kidney_s0;liver_s0;tonsil_s0,ecb48f53f1b24e779857cc2415f3f61e87130e253e65857542adbf7ca5b3972e,17908.642895,4.974623,3.893232,7.820193,7.914775,,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/log/2026-08-20T194225_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/log/2026-08-20T194225_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,44,A,COMPLETED,1570493,checkpoint_10 TEST,0.729817639,0.597613644,0.461035095,0.199657831,0.828844919,0.439833853,0.788226842,505452,644687,0.379800922,184076,260281,0.591307647,200330,276806,,0,0,0.000000000,18293,41775,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/log/2026-09-01T145728_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,23494,1223549,kidney_s0;liver_s0;tonsil_s0,kidney_s1;liver_s1;tonsil_s1,47b58bbfec248fadb420a3ee2072039375f23f2aae3ff5dc4146be2664e97a61,19910.190307,5.530608,3.893232,7.820193,9.025852,,,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/log/2026-09-01T145728_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/log/2026-09-01T145728_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed44/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,LP,KLT,Kidney+Liver+Tonsil,44,B,COMPLETED,1570494,checkpoint_10 TEST,0.781395155,0.656380425,0.554563715,0.204945310,0.848128725,0.423149326,0.787962955,683935,866333,0.339473235,219671,292692,0.565161113,283155,377576,,0,0,0.000000000,11090,23634,650,699736523,0.000092892,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/log/2026-09-01T150226_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,26335,1560235,kidney_s1;liver_s1;tonsil_s1,kidney_s0;liver_s0;tonsil_s0,ecb48f53f1b24e779857cc2415f3f61e87130e253e65857542adbf7ca5b3972e,19397.583847,5.388218,3.893232,7.820193,8.748182,,,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/log/2026-09-01T150226_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/log/2026-09-01T150226_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed44/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,Selected PEFT,KLT,Kidney+Liver+Tonsil,42,A,COMPLETED,1465776,checkpoint_10 TEST,0.790979447,0.675632564,0.519822534,0.216963135,0.842759783,0.483567384,0.754382724,536496,644639,0.532731386,203714,260197,0.647054284,225463,276753,,0,0,0.000101143,19762,41741,7908779,707644395,1.117620525,,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,23494,1223330,kidney_s0;liver_s0;tonsil_s0,kidney_s1;liver_s1;tonsil_s1,47b58bbfec248fadb420a3ee2072039375f23f2aae3ff5dc4146be2664e97a61,28094.345991,7.803985,9.361769,6.834445,8.518929,,,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_efficiency_metrics.json
held_out_slide_KLT,CellViT-SAM-H,Selected PEFT,KLT,Kidney+Liver+Tonsil,42,B,COMPLETED,1468272,checkpoint_10 TEST,0.836443180,0.731268249,0.609579157,0.230505236,0.862920171,0.477919743,0.823474593,723997,866243,0.391760083,242837,292611,0.696312021,326868,377387,,0,0,0.000132275,15111,23623,7908779,707644395,1.117620525,,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Canonical completion re-established from checkpoint-10 TEST artifacts on 2026-09-01.,26335,1559864,kidney_s1;liver_s1;tonsil_s1,kidney_s0;liver_s0;tonsil_s0,ecb48f53f1b24e779857cc2415f3f61e87130e253e65857542adbf7ca5b3972e,25169.484723,6.991524,9.361769,6.834445,8.138865,,,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_efficiency_metrics.json
